conference_id,title,status_before,status_after,modified_by_before,modified_by_after,modified_date_before,modified_date_after,action
45091,29th International Conference on Clinical and Experimental Cardiology (ICCEC) - Istanbul,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45117,29th International Conference on Clinical and Experimental Cardiology (ICCEC) - Roma,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45202,28th International Conference on Clinical and Experimental Cardiology (ICCEC) - Roma,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45203,28th International Conference on Clinical and Experimental Cardiology (ICCEC) - Istanbul,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45250,29th International Conference on Dentistry (ICD) - Roma,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45255,28th International Conference on Dentistry (ICD) - Roma,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45274,28th International Conference on Neurology and Therapeutics (ICNT) - Rome,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45277,28th International Conference on Neurology and Therapeutics (ICNT) - Istanbul,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45284,29th International Conference on Neurology and Therapeutics (ICNT) - Rome,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45286,29th International Conference on Neurology and Therapeutics (ICNT) - Istanbul,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45441,"30th International Conference on Pharmaceutics, Biopharmaceutics and Pharmaceutical Technology (ICPBPT)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45468,"29th International Conference on Pharmaceutics, Biopharmaceutics and Pharmaceutical Technology (ICPBPT)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45470,"31st International Conference on Pharmaceutics, Biopharmaceutics and Pharmaceutical Technology (ICPBPT)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45472,"31st International Conference on Pharmaceutics, Biopharmaceutics and Pharmaceutical Technology (ICPBPT)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45491,"30th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45497,"31st International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45507,"31st International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45588,"28th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45594,"29th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45597,"30th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS) - Dubai",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45604,"31st International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45660,28th International Conference on Pharmaceuticals and Technologies (ICPT),2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45662,29th International Conference on Pharmaceuticals and Technologies (ICPT),2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45664,30th International Conference on Pharmaceuticals and Technologies (ICPT),2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45668,31st International Conference on Pharmaceuticals and Technologies (ICPT),2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45675,"29th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45699,"30th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS) - Kuala Lumpur",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45702,"31st International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS) - Kuala Lumpur",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45731,"28th International Conference on Pharmacology, Medicinal and Pharmaceutical Sciences (ICPMPS) - Rome",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45732,"29th International Conference on Pharmacology, Medicinal and Pharmaceutical Sciences (ICPMPS) - Rome",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45734,"30th International Conference on Pharmacology, Medicinal and Pharmaceutical Sciences (ICPMPS) - Rome",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45736,"31st International Conference on Pharmacology, Medicinal and Pharmaceutical Sciences (ICPMPS) - Rome",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45743,"28th International Conference on Pharmacology, Medicinal and Pharmaceutical Sciences (ICPMPS) - Singapore",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45747,"29th International Conference on Pharmacology, Medicinal and Pharmaceutical Sciences (ICPMPS) - Singapore",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45753,"30th International Conference on Pharmacology, Medicinal and Pharmaceutical Sciences (ICPMPS) - Singapore",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45756,"31st International Conference on Pharmacology, Medicinal and Pharmaceutical Sciences (ICPMPS) - Singapore",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45764,"29th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45767,"30th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS) - Boston",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45796,28th International Conference on Sport Medicine and Exercise Science (ICSMES) - Venice,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45798,29th International Conference on Sport Medicine and Exercise Science (ICSMES) - Venice,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45802,30th International Conference on Sport Medicine and Exercise Science (ICSMES) - Venice,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45804,31st International Conference on Sport Medicine and Exercise Science (ICSMES) - Venice,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45829,29th International Conference on Sport Medicine and Exercise Science (ICSMES) - Lisboa,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45831,30th International Conference on Sport Medicine and Exercise Science (ICSMES) - Lisboa,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45833,31st International Conference on Sport Medicine and Exercise Science (ICSMES) - Lisboa,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45856,"28th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45862,"29th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45867,"31st International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45869,29th International Conference on Medicine and Pharmacological Sciences (ICMPS),2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45872,31st International Conference on Medicine and Pharmacological Sciences (ICMPS),2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45901,25th International Conference on Pharmaceutical Science Technology and Engineering (ICPSTE) - Singapore,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45911,29th International Conference on Pharmaceutical Science Technology and Engineering (ICPSTE) - Singapore,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45913,30th International Conference on Pharmaceutical Science Technology and Engineering (ICPSTE) - Singapore,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45916,31st International Conference on Pharmaceutical Science Technology and Engineering (ICPSTE) - Singapore,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45923,30th International Conference on Pharmaceutical Science Technology and Engineering (ICPSTE) - Venice,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45926,31st International Conference on Pharmaceutical Science Technology and Engineering (ICPSTE) - Venice,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45927,"30th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS) - Paris",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45930,"31st International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS) - Paris",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45946,"30th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS) - Venice",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45949,"31st International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS) - Venice",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45957,"30th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS) - May",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45959,"31st International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS) - May",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45967,"30th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS) - Sep",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
45976,"31st International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS) - Sep",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
46017,29th International Conference on Pharmacology and Pharmaceutical Medicine (ICPPM) - Kuala Lumpur,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
46019,31st International Conference on Pharmacology and Pharmaceutical Medicine (ICPPM) - Kuala Lumpur,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
46028,30th International Conference on Pharmacology and Pharmaceutical Medicine (ICPPM) - London,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
46030,31st International Conference on Pharmacology and Pharmaceutical Medicine (ICPPM) - London,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
46041,30th International Conference on Pharmacology and Pharmaceutical Medicine (ICPPM) - Venice,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
46045,31st International Conference on Pharmacology and Pharmaceutical Medicine (ICPPM) - Venice,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
46109,28th International Conference on Pharmacy and Chemical Engineering (ICPCE) - Dubai,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
46111,29th International Conference on Pharmacy and Chemical Engineering (ICPCE) - Dubai,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
46114,30th International Conference on Pharmacy and Chemical Engineering (ICPCE) - Dubai,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,DRY_RUN
