conference_id,title,status_before,status_after,modified_by_before,modified_by_after,modified_date_before,modified_date_after,action
45091,29th International Conference on Clinical and Experimental Cardiology (ICCEC) - Istanbul,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45117,29th International Conference on Clinical and Experimental Cardiology (ICCEC) - Roma,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45202,28th International Conference on Clinical and Experimental Cardiology (ICCEC) - Roma,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45203,28th International Conference on Clinical and Experimental Cardiology (ICCEC) - Istanbul,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45250,29th International Conference on Dentistry (ICD) - Roma,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45255,28th International Conference on Dentistry (ICD) - Roma,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45274,28th International Conference on Neurology and Therapeutics (ICNT) - Rome,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45277,28th International Conference on Neurology and Therapeutics (ICNT) - Istanbul,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45284,29th International Conference on Neurology and Therapeutics (ICNT) - Rome,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45286,29th International Conference on Neurology and Therapeutics (ICNT) - Istanbul,2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45441,"30th International Conference on Pharmaceutics, Biopharmaceutics and Pharmaceutical Technology (ICPBPT)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45468,"29th International Conference on Pharmaceutics, Biopharmaceutics and Pharmaceutical Technology (ICPBPT)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45470,"31st International Conference on Pharmaceutics, Biopharmaceutics and Pharmaceutical Technology (ICPBPT)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45472,"31st International Conference on Pharmaceutics, Biopharmaceutics and Pharmaceutical Technology (ICPBPT)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45491,"30th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45497,"31st International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45507,"31st International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45588,"28th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45594,"29th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45597,"30th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS) - Dubai",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45604,"31st International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45660,28th International Conference on Pharmaceuticals and Technologies (ICPT),2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45662,29th International Conference on Pharmaceuticals and Technologies (ICPT),2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45664,30th International Conference on Pharmaceuticals and Technologies (ICPT),2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45668,31st International Conference on Pharmaceuticals and Technologies (ICPT),2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45675,"29th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45699,"30th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS) - Kuala Lumpur",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45702,"31st International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS) - Kuala Lumpur",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45731,"28th International Conference on Pharmacology, Medicinal and Pharmaceutical Sciences (ICPMPS) - Rome",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45732,"29th International Conference on Pharmacology, Medicinal and Pharmaceutical Sciences (ICPMPS) - Rome",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45734,"30th International Conference on Pharmacology, Medicinal and Pharmaceutical Sciences (ICPMPS) - Rome",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45736,"31st International Conference on Pharmacology, Medicinal and Pharmaceutical Sciences (ICPMPS) - Rome",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45743,"28th International Conference on Pharmacology, Medicinal and Pharmaceutical Sciences (ICPMPS) - Singapore",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
45747,"29th International Conference on Pharmacology, Medicinal and Pharmaceutical Sciences (ICPMPS) - Singapore",2,5,64529,64529,2026-04-22 00:00:00,2026-05-06,UPDATED
