conference_id,title,startdate,enddate,cme_points,organizer_names,blocked_org_ids,blocked_org_names,created_date,modified_date
45091,29th International Conference on Clinical and Experimental Cardiology (ICCEC) - Istanbul,2027-12-21,2027-12-22,,World Academy of Science Engineering and Technology (WASET),1488,World Academy of Science Engineering and Technology (WASET),2016-03-11 03:25:13,2017-09-09 02:21:48
45117,29th International Conference on Clinical and Experimental Cardiology (ICCEC) - Roma,2027-09-17,2027-09-18,,World Academy of Science Engineering and Technology (WASET),1488,World Academy of Science Engineering and Technology (WASET),2016-03-11 04:01:21,2017-09-09 02:21:48
45202,28th International Conference on Clinical and Experimental Cardiology (ICCEC) - Roma,2026-09-17,2026-09-18,,World Academy of Science Engineering and Technology (WASET),1488,World Academy of Science Engineering and Technology (WASET),2016-03-13 23:10:42,2017-09-09 02:21:48
45203,28th International Conference on Clinical and Experimental Cardiology (ICCEC) - Istanbul,2026-12-21,2026-12-22,,World Academy of Science Engineering and Technology (WASET),1488,World Academy of Science Engineering and Technology (WASET),2016-03-13 23:20:32,2017-09-09 02:21:48
45250,29th International Conference on Dentistry (ICD) - Roma,2027-05-05,2027-05-06,,World Academy of Science Engineering and Technology (WASET),1488,World Academy of Science Engineering and Technology (WASET),2016-03-14 03:45:40,2017-09-09 02:21:48
45255,28th International Conference on Dentistry (ICD) - Roma,2026-05-05,2026-05-06,,World Academy of Science Engineering and Technology (WASET),1488,World Academy of Science Engineering and Technology (WASET),2016-03-14 03:53:56,2017-09-09 02:21:48
45274,28th International Conference on Neurology and Therapeutics (ICNT) - Rome,2026-09-17,2026-09-18,,World Academy of Science Engineering and Technology (WASET),1488,World Academy of Science Engineering and Technology (WASET),2016-03-14 05:24:16,2017-09-09 02:21:48
45277,28th International Conference on Neurology and Therapeutics (ICNT) - Istanbul,2026-12-21,2026-12-22,,World Academy of Science Engineering and Technology (WASET),1488,World Academy of Science Engineering and Technology (WASET),2016-03-14 05:57:55,2017-09-09 02:21:48
45284,29th International Conference on Neurology and Therapeutics (ICNT) - Rome,2027-09-17,2027-09-18,,World Academy of Science Engineering and Technology (WASET),1488,World Academy of Science Engineering and Technology (WASET),2016-03-14 06:48:07,2017-09-09 02:21:48
45286,29th International Conference on Neurology and Therapeutics (ICNT) - Istanbul,2027-12-21,2027-12-22,,World Academy of Science Engineering and Technology (WASET),1488,World Academy of Science Engineering and Technology (WASET),2016-03-14 06:54:45,2017-09-09 02:21:48
45441,"30th International Conference on Pharmaceutics, Biopharmaceutics and Pharmaceutical Technology (ICPBPT)",2028-02-16,2028-02-17,,World Academy of Science Engineering and Technology (WASET),1488,World Academy of Science Engineering and Technology (WASET),2016-03-16 01:12:50,2017-09-09 02:21:48
45468,"29th International Conference on Pharmaceutics, Biopharmaceutics and Pharmaceutical Technology (ICPBPT)",2027-01-08,2027-01-09,,World Academy of Science Engineering and Technology (WASET),1488,World Academy of Science Engineering and Technology (WASET),2016-03-16 05:08:35,2017-09-09 02:21:48
45470,"31st International Conference on Pharmaceutics, Biopharmaceutics and Pharmaceutical Technology (ICPBPT)",2029-01-07,2029-01-08,,World Academy of Science Engineering and Technology (WASET),1488,World Academy of Science Engineering and Technology (WASET),2016-03-16 05:18:02,2017-09-09 02:21:48
45472,"31st International Conference on Pharmaceutics, Biopharmaceutics and Pharmaceutical Technology (ICPBPT)",2029-02-25,2029-02-26,,World Academy of Science Engineering and Technology (WASET),1488,World Academy of Science Engineering and Technology (WASET),2016-03-16 05:38:25,2017-09-09 04:17:11
45491,"30th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2028-02-16,2028-02-17,,World Academy of Science Engineering and Technology (WASET),1488,World Academy of Science Engineering and Technology (WASET),2016-03-16 06:53:24,2017-09-09 02:21:48
45497,"31st International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2029-02-25,2029-02-26,,World Academy of Science Engineering and Technology (WASET),1488,World Academy of Science Engineering and Technology (WASET),2016-03-16 07:17:41,2017-09-09 02:21:48
45507,"31st International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2029-11-28,2029-11-29,,World Academy of Science Engineering and Technology (WASET),1488,World Academy of Science Engineering and Technology (WASET),2016-03-16 08:20:05,2017-09-09 04:17:11
45588,"28th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2026-12-24,2026-12-25,,World Academy of Science Engineering and Technology (WASET),1488,World Academy of Science Engineering and Technology (WASET),2016-03-17 02:30:36,2017-09-09 02:21:48
45594,"29th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)",2027-12-24,2027-12-25,,World Academy of Science Engineering and Technology (WASET),1488,World Academy of Science Engineering and Technology (WASET),2016-03-17 02:38:27,2017-09-09 02:21:48
45597,"30th International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS) - Dubai",2028-12-23,2028-12-24,,World Academy of Science Engineering and Technology (WASET),1488,World Academy of Science Engineering and Technology (WASET),2016-03-17 02:46:42,2017-09-09 02:21:48
