name,website,eMed Provider ID,eMed Provider Name,eMed Provider Status
4P Medical Education,https://4pmeded.com/,,,
A. Webb Roberts Center for Continuing Medical Education of Baylor Scott & White Health,https://ce.bswhealth.com/,9755,A. Webb Roberts Center for Continuing Medical Education of Baylor Scott & White Health,1
AANS,http://www.aans.org/,,,
Academia Medica del Sur,https://www.academiamedicadelsur.com/,,,
"AcademicCME, LLC",https://academiccme.com/,,,
"Academy for Continued Healthcare Learning, The",http://achlcme.org/,,,
Academy of Medicine of Queens County,http://www.mscq.org/,,,
"Acadoodle, Ltd.",https://www.acadoodle.com/,,,
Acapedia,http://www.fluorosafety.com/,,,
Accreditation Council for Graduate Medical Education,https://www.acgme.org/,51304,Accreditation Council for Graduate Medical Education,1
AchieveCE,https://achievece.com/,47734,AchieveCE,1
Adena Regional Medical Center,http://www.adena.org/meded,,,
Advanced Health Education Center,http://www.aheconline.com/,7424,Advanced Health Education Center,1
Advanced Medical Education,http://www.amecme.com/,,,
AdventHealth Great Lakes Region Medical Centers,https://www.adventhealth.com/hospital/adventhealth-hinsdale,,,
AdventHealth Orlando,https://adventhealth.cloud-cme.com/,,,
AdventHealth Rocky Mountain Region,https://www.adventhealth.com/news/adventhealth-rename-directly-manage-five-colorado-hospitals-and-related-care-sites,,,
Advocate Health,https://www.advocateaurorahealth.org/,45640,Advocate Health,1
AEYR Global,https://aeyr.com/,,,
AffinityCE,https://affinityced.com/,43852,AffinityCE,1
Aga Khan University Hospital,http://www.aku.edu/,,,
AIDS Healthcare Foundation,http://www.aidshealth.org/,4400,AIDS Healthcare Foundation,1
AIMEC,https://www.aimec.co/,,,
AK Department of Health and Social Services,https://health.alaska.gov/Pages/default.aspx,,,
"AKH Inc., Advancing Knowledge in Healthcare",https://www.akhcme.com/,,,
Alabama College Of Osteopathic Medicine,http://www.acom.edu/,,,
Alameda Health System,https://www.alamedahealthsystem.org/,,,
Alaska Native Medical Center,http://www.anmc.org/,,,
Albany Medical College,http://www.amc.edu/,,,
Albert Einstein College of Medicine – Montefiore Medical Center,https://montefioreeinstein.org/,,,
Alivio Medical Center,https://aliviohealth.com/,,,
Allegheny General Hospital,https://cme.ahn.org/,,,
Alliant Health Solutions,https://www.allianthealth.org/,,,
Allina Health,http://www.allina.com/,4423,Allina Health,1
AltaMed Health Services,https://www.altamed.org/,,,
AMBOSS,https://www.amboss.com/us,,,
"Amedco, LLC.",http://www.amedcoedu.com/,,,
American Academy of Addiction Psychiatry,https://www.aaap.org/,,,
American Academy of Allergy Asthma & Immunology,http://www.aaaai.org/,,,
American Academy of Child and Adolescent Psychiatry,http://www.aacap.org/,,,
American Academy of CME,https://www.academycme.org/,,,
American Academy of Dermatology,http://www.aad.org/,,,
American Academy of Emergency Medicine,http://www.aaem.org/,,,
American Academy of Facial Plastic & Reconstructive Surgery Foundation,http://www.aafprs.org/,,,
American Academy of Family Physicians,http://www.aafp.org/,,,
American Academy of Hospice & Palliative Medicine,http://www.aahpm.org/,,,
American Academy of Medical Acupuncture,http://www.medicalacupuncture.org/,,,
American Academy of Neurology Institute,http://www.aan.com/,,,
American Academy of Ophthalmology,http://www.aao.org/,,,
American Academy of Orthopaedic Surgeons,http://www.aaos.org/,10162,American Academy of Orthopaedic Surgeons,1
American Academy of Otolaryngic Allergy,http://aaoallergy.org/,,,
American Academy of Otolaryngology – Head & Neck Surgery Foundation,http://www.entnet.org/,,,
American Academy of Pediatrics,http://www.aap.org/,,,
American Academy of Pediatrics – Georgia Chapter,http://www.gaaap.org/,,,
"American Academy of Pediatrics, Chapter 4",http://www.aap-oc.org/,9708,"American Academy of Pediatrics, Chapter 4",1
American Academy of Physical Medicine And Rehabilitation,http://www.aapmr.org/,,,
American Academy of Psychiatry and the Law,http://www.aapl.org/,,,
American Academy of Sleep Medicine,https://aasm.org/,,,
American Association for Physician Leadership,http://www.physicianleaders.org/,,,
American Association for the Study of Liver Diseases,http://www.aasld.org/,,,
American Association for Thoracic Surgery,http://www.aats.org/,,,
American Association of Gynecologic Laparoscopists,http://www.aagl.org/,,,
American Association of Hip and Knee Surgeons,http://www.aahks.org/,,,
"American Association of Neuromuscular & Electrodiagnostic Medicine, The",http://www.aanem.org/,,,
American Association of Neuropathologists,http://www.neuropath.org/,,,
American Association of Oral & Maxillofacial Surgeons,http://www.aaoms.org/,,,
American Board of Quality Assurance and Utilization Review Physicians,http://www.abqaurp.org/,8299,American Board of Quality Assurance and Utilization Review Physicians,1
American Burn Association,http://www.ameriburn.org/,51307,American Burn Association,1
American Cleft Palate Craniofacial Association,http://acpacares.org/,,,
American Clinical Neurophysiology Society,http://www.acns.org/,,,
American College Health Association,http://www.acha.org/,7430,American College Health Association,1
"American College of Allergy, Asthma and Immunology",http://www.acaai.org/,,,
American College of Cardiology Foundation,https://www.acc.org/,,,
American College of Chest Physicians,http://www.chestnet.org/,,,
American College of Clinical Pharmacology,http://www.accp1.org/,,,
American College of Emergency Physicians,http://www.acep.org/,,,
American College of Endocrinology,http://www.aace.com/,,,
American College of Gastroenterology,https://gi.org/,,,
American College of Healthcare Executives,https://www.ache.org/,41587,American College of Healthcare Executives,1
American College of Legal Medicine,http://www.aclm.org/,,,
American College of Medical Genetics and Genomics,http://www.acmg.net/,,,
"American College of Mohs Surgery, Inc",http://www.mohscollege.org/,,,
American College of Obstetricians & Gynecologists,http://www.acog.org/,,,
American College of Occupational & Environmental Medicine,http://www.acoem.org/,,,
American College of Osteopathic Family Physicians,https://www.acofp.org/,,,
American College of Osteopathic Internists,https://www.acoi.org/,,,
American College of Osteopathic Obstetricians and Gynecologists,http://www.acoog.org/,,,
American College of Osteopathic Surgeons,https://www.facos.org/,,,
American College of Physicians,http://www.acponline.org/,13276,American College of Physicians,1
American College of Preventive Medicine,http://www.acpm.org/,,,
"American College of Psychiatrists, The",http://www.acpsych.org/,,,
American College of Radiology,http://www.acr.org/,,,
American College of Rheumatology,http://www.rheumatology.org/,7679,American College of Rheumatology,1
American College of Sports Medicine,http://www.acsm.org/,3813,American College of Sports Medicine,1
American College of Surgeons,http://www.facs.org/,7238,American College of Surgeons,1
American Correctional Association,http://www.aca.org/,,,
American Diabetes Association,https://professional.diabetes.org/,51311,American Diabetes Association,1
American Educational Institute,http://www.aeiseminars.com/,,,
American Epilepsy Society,http://www.aesnet.org/,51314,American Epilepsy Society,1
American Gastroenterological Association (AGA) Institute,http://www.gastro.org/,,,
American Geriatrics Society,http://www.americangeriatrics.org/,,,
American Group Psychotherapy Association,http://www.agpa.org/,,,
American Head And Neck Society,http://www.headandneckcancer.org/,,,
American Headache Society,http://www.americanheadachesociety.org/,,,
American Heart Association,http://learn.heart.org/,,,
American Institute of Medical Education,http://www.creativityandmadness.com/,,,
American Institute of Ultrasound in Medicine,http://www.aium.org/,,,
American Medical Association,http://www.ama-assn.org/,,,
"American Medical Compliance, Inc.",https://americanmedicalcompliance.com/,,,
American Medical Group Association,http://www.amga.org/,,,
American Medical Informatics Association,http://www.amia.org/,,,
"American Medical Seminars, Inc.",http://www.americanmedicalseminars.com/,,,
American Neurological Association,http://myana.org/,,,
American Nutrition Association,https://theana.org/,,,
American Orthopaedic Foot And Ankle Society,http://www.aofas.org/,,,
American Orthopaedic Society for Sports Medicine,http://www.sportsmed.org/,,,
American Osteopathic Association,http://accme.org/cme-provider-directory/www.osteopathic.org,,,
American Osteopathic College of Dermatology,http://www.aocd.org/,,,
American Osteopathic College of Radiology,http://www.aocr.org/,,,
American Pain Consortium,https://www.americanpainconsortium.com/,,,
American Psychiatric Association,http://www.psych.org/,,,
American Psychoanalytic Association,http://www.apsa.org/,,,
American Public Health Association,http://www.apha.org/,,,
American Red Cross,https://www.redcross.org/take-a-class,,,
American Rhinologic Society,http://www.american-rhinologic.org/,,,
American Roentgen Ray Society,http://www.arrs.org/,,,
American Seminar Institute,http://accme.org/cme-provider-directory/www.americanseminar.com,,,
American Society for Aesthetic Plastic Surgery,http://www.theaestheticsociety.org/,,,
American Society for Clinical Pathology,http://www.ascp.org/,,,
American Society for Dermatologic Surgery,http://www.asds.net/,,,
American Society for Gastrointestinal Endoscopy,http://www.asge.org/,35578,American Society for Gastrointestinal Endoscopy,1
American Society for Laser Medicine And Surgery,http://www.aslms.org/,,,
American Society for Metabolic and Bariatric Surgery,http://www.asmbs.org/,,,
American Society for Nutrition,https://nutrition.org/,"2151,7636","American Society for Nutrition,American Society for Nutrition","1,1"
American Society for Parenteral & Enteral Nutrition,http://www.nutritioncare.org/,,,
American Society for Radiation Oncology,http://www.astro.org/,,,
American Society for Reproductive Medicine,http://www.asrm.org/,,,
American Society for Surgery of the Hand,http://www.assh.org/,,,
American Society for Transplantation and Cellular Therapy,https://www.astct.org/,,,
American Society of Addiction Medicine,http://www.asam.org/,,,
American Society of Anesthesiologists,http://www.asahq.org/,,,
"American Society of Breast Surgeons, The",http://www.breastsurgeons.org/,,,
American Society of Cataract & Refractive Surgery,http://www.ascrs.org/,,,
American Society of Clinical Hypnosis – Education and Research Foundation,http://www.asch.net/,,,
American Society of Clinical Oncology,http://www.asco.org/,,,
American Society of Colon And Rectal Surgeons,http://www.fascrs.org/,,,
American Society of Cytopathology,http://www.cytopathology.org/,,,
American Society of Dermatopathology,http://www.asdp.org/,,,
American Society of Echocardiography,http://www.asecho.org/,,,
American Society of Health-System Pharmacists,http://www.ashp.org/,,,
American Society of Hematology,http://www.hematology.org/,,,
American Society of Nephrology (ASN),https://www.asn-online.org/,1748,American Society of Nephrology (ASN),1
American Society of Neuroradiology,http://www.asnr.org/,,,
American Society of Nuclear Cardiology,http://www.asnc.org/,,,
American Society of Ophthalmic Plastic And Reconstructive Surgery,http://www.asoprs.org/,,,
American Society of Pediatric Hematology – Oncology,http://www.aspho.org/,,,
American Society of Plastic Surgeons,http://www.plasticsurgery.org/,8476,American Society of Plastic Surgeons,1
American Society of Regional Anesthesia and Pain Medicine,http://www.asra.com/,,,
American Society of Retina Specialists,http://www.asrs.org/,,,
American Society of Transplant Surgeons,http://www.asts.org/,,,
American Society of Tropical Medicine & Hygiene,http://www.astmh.org/,,,
American Sports Medicine Institute,http://www.asmi.org/,,,
American Thoracic Society,http://www.thoracic.org/,,,
American Thyroid Association,https://www.thyroid.org/,,,
American Urogynecologic Society (AUGS),https://www.augs.org/,1852,American Urogynecologic Society (AUGS),1
American Urological Association,http://www.auanet.org/,,,
American Vein and Lymphatic Society,http://www.myavls.org/,,,
AnMed Health,https://anmed.org/,2469,AnMed Health,1
Annenberg Center for Health Sciences At Eisenhower,http://www.annenberg.net/,2474,Annenberg Center for Health Sciences At Eisenhower,1
Answers in CME Inc. (AiCME),https://answersincme.com/aboutus,,,
Antelope Valley Medical Center,http://accme.org/cme-provider-directory/www.avmc.org,,,
Antidote Education Company,https://my.antidotecme.com/,2479,Antidote Education Company,1
"AO North America, Inc.",http://www.aona.org/,,,
Apex Innovations,https://www.apexinnovations.com/,6342,Apex Innovations,1
Apex Longevity Academy,https://apexlongevityacademy.com/us/,,,
"Apogee Medical Management, Inc.",http://www.apogeephysicians.com/,,,
Ara Imaging,http://www.ausrad.com/,,,
Area L AHEC,http://www.arealahec.org/,,,
Arizona Alliance for Community Health Centers,https://aachc.org/,,,
Arizona Chapter of the American Academy of Pediatrics (AzAAP),http://accme.org/cme-provider-directory/azaap.org,"50851,51216","Arizona Chapter of the American Academy of Pediatrics (AzAAP),Arizona Chapter of the American Academy of Pediatrics (AzAAP)","1,1"
Arizona Osteopathic Medical Association,http://www.azosteo.org/,,,
Arizona State University,https://cmehub.asu.edu/,,,
Arkansas Colleges of Health Education,https://achehealth.edu/,,,
Armenian American Medical Society,http://www.aamsc.org/,,,
Artesia General Hospital,https://artesiageneral.com/,,,
Arthroscopy Association of North America,http://www.aana.org/,7326,Arthroscopy Association of North America,1
ASCCP,http://www.asccp.org/,2778,ASCCP,1
Ascension,http://accme.org/cme-provider-directory/ascension-ce-cme.cloud-cme.com,18255,Ascension,1
Ascension Saint Thomas,https://ast.cloud-cme.com/,2431,Ascension Saint Thomas,1
"Aspirus, Inc.",https://www.aspirus.org/continuing-medical-education,,,
Association for Diagnostics & Laboratory Medicine,http://accme.org/cme-provider-directory/myadlm.org,,,
Association for Hospital Medical Education,http://www.ahme.org/,,,
"Association for Research in Vision and Ophthalmology, The",http://www.arvo.org/,,,
Association for the Advancement of Blood & Biotherapies (AABB),http://accme.org/cme-provider-directory/www.aabb.org,"1873,49300","Association for the Advancement of Blood & Biotherapies (AABB),Association for the Advancement of Blood & Biotherapies (AABB)","1,1"
Association of Academic Physiatrists,http://www.physiatry.org/,,,
Association of Black Cardiologists,http://www.abcardio.org/,21995,Association of Black Cardiologists,1
Association of Diabetes Care & Education Specialists,http://accme.org/cme-provider-directory/diabeteseducator.org,,,
Association of Extremity Nerve Surgeons,http://www.aens.us/,,,
Association of Physicians of​ Pakistani Descent of North America,http://www.appna.org/,,,
Austen Riggs Center,http://www.austenriggs.org/,,,
Avel eCare,http://accme.org/cme-provider-directory/www.avelecare.com,51425,Avel eCare,1
Avera,https://avera.cloud-cme.com/default.aspx,,,
"AXIS Medical Education, Inc.",http://axismeded.com/,9704,"AXIS Medical Education, Inc.",1
Ballad Health,http://www.balladhealth.org/,18836,Ballad Health,1
Baltimore County Medical Association,https://www.bcmamed.org/,,,
Banner Health,http://www.bannercme.com/,2488,Banner Health,1
Baptist Health,http://www.baptistjax.com/,2505,Baptist Health,1
Baptist Health Care,http://ebaptisthealthcare.org/,7344,Baptist Health Care,1
Baptist Health Deaconess Madisonville,http://accme.org/cme-provider-directory/www.baptisthealthdeaconess.com,,,
Baptist Health South Florida,http://www.baptisthealth.net/,6137,Baptist Health South Florida,1
Baptist Memorial Health Care Corporation,http://www.baptistonline.org/,,,
Bartlett Regional Hospital,http://www.bartletthospital.org/,4723,Bartlett Regional Hospital,1
Bassett Healthcare,http://www.bassett.edu/,,,
Baton Rouge General Medical Center,http://www.brgeneral.org/,,,
Bay Area Hospital,http://www.bayareahospital.org/,,,
Baylor College of Medicine,https://clinicianresources.bcm.edu/,50343,Baylor College of Medicine,1
Baystate Health,https://www.baystatehealth.org/,3230,Baystate Health,1
Beacon Health System,http://accme.org/cme-provider-directory/www.beaconhealthsystem.org,10749,Beacon Health System,1
Behavioral Tech Institute,http://www.behavioraltech.org/,,,
Berkshire Health Systems,http://www.berkshirehealthsystems.org/,,,
Beth Israel Deaconess Hospital – Milton,http://www.bidmilton.org/,,,
Beth Israel Deaconess Hospital – Needham,http://www.bidneedham.org/,,,
Beth Israel Deaconess Hospital – Plymouth,http://www.bidplymouth.org/,,,
Beverly Hospital – A Member of Lahey Health,http://www.beverlyhospital.org/,,,
Billings Clinic,https://www.billingsclinic.com/,1699,Billings Clinic,1
Binaytara,https://binayfoundation.org/,,,
Bingham Memorial Hospital,https://www.binghammemorial.org/,,,
Blue Cross Blue Shield of Massachusetts,https://www.bluecrossma.org/,,,
BoardVitals,https://www.boardvitals.com/,43840,BoardVitals,1
Bon Secours Mercy Health Center for Continuing Education,https://www.mercy.com/,,,
Bone Health and Osteoporosis Foundation,https://www.bonehealthandosteoporosis.org/,,,
BorderRAC,http://www.borderrac.org/,,,
Boston Children’s Hospital,http://www.bostonchildrens.org/,16918,Boston Children’s Hospital,1
Boston University Chobanian & Avedisian School of Medicine,http://cme.bu.edu/,,,
Boulder Community Health (BCH),https://www.bch.org/,4778,Boulder Community Health (BCH),1
Bridgeport Hospital,http://www.bridgeporthospital.org/,4791,Bridgeport Hospital,1
